Company	Share Class	Number of Shares
ARCOS DORADOS HOLDINGS INC	SHS CLASS -A -	3060500
BERKSHIRE HATHAWAY INC DEL	CL B NEW	47078974
CANADIAN NATL RY CO	COM	17126874
CATERPILLAR INC DEL	COM	11260857
COCA COLA FEMSA S A B DE C V	SPONSORD ADR REP	6214719
CROWN CASTLE INTL CORP NEW	COM	5332900
ECOLAB INC	COM	4366426
FEDEX CORP	COM	3024999
GRUPO TELEVISA SA	SPON ADR REP ORD	16879104
LIBERTY GLOBAL PLC	SHS CL A	2119515
LIBERTY GLOBAL PLC	SHS CL C	3639349
LIBERTY LATIN AMERICA LTD	COM CL A	370424
LIBERTY LATIN AMERICA LTD	COM CL C	636044
UNITED PARCEL SERVICE INC	CL B	4525329
WALMART INC	COM	11603000
WASTE MGMT INC DEL	COM	18633672
